trial,model,cv_auc
15,Gradient boosting,0.49320303030303025
15,LightGBM,0.491969696969697
15,AdaBoost,0.4844454545454545
15,XGBoost,0.4606545454545454
15,kNN (k=15),0.45603030303030306
15,Extra tree,0.45320606060606067
16,Random forest,0.5223333333333333
16,LightGBM,0.5015272727272727
16,Decision tree (d3),0.4932787878787879
16,Gradient boosting,0.4926151515151516
16,AdaBoost,0.48607575757575755
16,SGD (log loss),0.47826969696969696
16,Logistic (L2),0.4781878787878788
16,Ridge,0.47746363636363637
16,LDA,0.47513939393939386
16,LinearSVC,0.4691121212121212
16,kNN (k=15),0.4667651515151515
16,Extra trees,0.4636363636363637
16,XGBoost,0.46316969696969695
16,GaussianNB,0.44316969696969694
16,Extra tree,0.42700000000000005
17,Extra tree,0.4425378787878788
17,Gradient boosting,0.44135151515151516
17,Decision tree (d3),0.4351000000000001
17,kNN (k=15),0.4231590909090909
17,LinearSVC,0.41630909090909096
17,SGD (log loss),0.4148060606060605
17,LightGBM,0.4114606060606061
17,LDA,0.40919696969696967
17,Ridge,0.4021575757575757
17,XGBoost,0.38516060606060604
17,Logistic (L2),0.3839939393939394
17,Random forest,0.38351818181818176
17,AdaBoost,0.3463227272727273
17,Extra trees,0.31880000000000003
17,GaussianNB,0.2746469696969697
18,kNN (k=15),0.5831575757575758
18,Logistic (L2),0.5413575757575758
18,LinearSVC,0.5402515151515151
18,GaussianNB,0.531481818181818
18,SGD (log loss),0.5262575757575757
18,Extra tree,0.5087530303030302
18,Ridge,0.5037090909090909
18,LDA,0.48518181818181816
18,Decision tree (d3),0.4538636363636363
18,Extra trees,0.44380606060606065
18,Random forest,0.4305060606060606
18,AdaBoost,0.4252439393939394
18,Gradient boosting,0.416069696969697
18,LightGBM,0.39825454545454547
18,XGBoost,0.3953363636363636
19,LightGBM,0.5442939393939394
19,XGBoost,0.5187424242424242
19,Decision tree (d3),0.51145
19,Extra tree,0.5085469696969697
19,Gradient boosting,0.4922545454545455
19,kNN (k=15),0.4842136363636363
19,AdaBoost,0.4798348484848485
19,Random forest,0.4737151515151516
19,GaussianNB,0.46613181818181815
19,Logistic (L2),0.43709393939393937
19,Extra trees,0.42905454545454547
19,SGD (log loss),0.424821212121212
19,LinearSVC,0.42341212121212124
19,LDA,0.40299393939393935
19,Ridge,0.3939878787878788
